     atm_u           atm_v           atm_T           atm_q           R_net     
 6.50587738E-01  6.63518047E+00  2.96169983E+02  8.86727404E-03  -5.54559998E+01
 7.56977975E-01  6.54235268E+00  2.96130005E+02  8.86050984E-03  -5.55239998E+01
 8.30905914E-01  6.76717949E+00  2.96079987E+02  8.88654776E-03  -5.55919998E+01
 9.84477878E-01  6.91729498E+00  2.96059998E+02  8.89275689E-03  -5.56599998E+01
 8.40046167E-01  6.84162045E+00  2.96019989E+02  8.90563615E-03  -5.57279999E+01
 7.89045513E-01  6.81950378E+00  2.95970001E+02  8.91212281E-03  -5.57959999E+01
 6.71878874E-01  6.97772741E+00  2.95940002E+02  8.91860947E-03  -5.58639999E+01
 3.24281514E-01  6.87635756E+00  2.95889984E+02  8.93204659E-03  -5.59320000E+01
 1.69477284E-01  7.46807718E+00  2.95869995E+02  8.94585904E-03  -5.60000000E+01
 1.47424817E-01  6.49632788E+00  2.95910004E+02  8.93223286E-03  -5.60680000E+01
 8.38335156E-02  6.86148787E+00  2.95899994E+02  8.91925953E-03  -5.61360001E+01
 1.34385273E-01  7.69882727E+00  2.95889984E+02  8.93241912E-03  -5.62040001E+01
-1.01086356E-01  7.23929405E+00  2.95910004E+02  8.92611872E-03  -5.62720001E+01
 4.55421954E-01  7.44608545E+00  2.95899994E+02  8.93232599E-03  -5.63400002E+01
 5.71991861E-01  7.78902578E+00  2.95899994E+02  8.93223286E-03  -5.64080002E+01
 2.41861761E-01  7.69620037E+00  2.95919983E+02  8.93204659E-03  -5.64760002E+01
 3.76410693E-01  7.43047190E+00  2.95910004E+02  8.92574620E-03  -5.65440002E+01
 3.40287417E-01  6.71738625E+00  2.95850006E+02  8.93223286E-03  -5.66120003E+01
 3.28723460E-01  7.84311438E+00  2.95779999E+02  8.95178691E-03  -5.66800003E+01
 1.31418332E-01  7.52885342E+00  2.95760010E+02  8.94557871E-03  -5.67480003E+01
-4.90065515E-02  7.01982880E+00  2.95729980E+02  8.93195346E-03  -5.68160004E+01
-1.71511307E-01  7.01790428E+00  2.95709991E+02  8.94511305E-03  -5.68840004E+01
-2.80614734E-01  7.30461216E+00  2.95679993E+02  8.95178691E-03  -5.69520004E+01
-3.65462601E-01  6.97342968E+00  2.95660004E+02  8.93825479E-03  -5.70200005E+01
-3.29295158E-01  6.73295212E+00  2.95619995E+02  8.93834792E-03  -5.69993338E+01
-2.62782156E-01  6.54272461E+00  2.95559998E+02  8.94455332E-03  -5.69786672E+01
-3.70931208E-01  6.06466722E+00  2.95489990E+02  8.95103998E-03  -5.69580006E+01
-4.47697490E-01  5.95419264E+00  2.95399994E+02  8.95085372E-03  -5.69373339E+01
-5.69649220E-01  6.51112843E+00  2.95309998E+02  8.97059217E-03  -5.69166673E+01
-4.90044385E-01  6.83645916E+00  2.95289978E+02  9.00377519E-03  -5.68960007E+01
-3.82767260E-01  6.84630823E+00  2.95309998E+02  9.02370550E-03  -5.68753340E+01
-7.72999167E-01  7.48016500E+00  2.95359985E+02  9.06281825E-03  -5.68546674E+01
 2.79546022E-01  8.00512123E+00  2.95399994E+02  9.11528710E-03  -5.68340008E+01
-5.10310382E-02  7.30982161E+00  2.95419983E+02  9.10174381E-03  -5.68133341E+01
 3.32512259E-01  7.32245398E+00  2.95419983E+02  9.08857957E-03  -5.67926675E+01
 9.74921957E-02  7.97940445E+00  2.95399994E+02  9.13541857E-03  -5.67720009E+01
-5.59875444E-02  8.01980495E+00  2.95399994E+02  9.16136988E-03  -5.67513343E+01
 1.48176858E-02  8.48998642E+00  2.95399994E+02  9.20784567E-03  -5.67306676E+01
 1.94433764E-01  8.56779385E+00  2.95440002E+02  9.24019329E-03  -5.67100010E+01
 1.08487688E-01  7.76924276E+00  2.95429993E+02  9.23351105E-03  -5.66893344E+01
 3.42850864E-01  7.85251904E+00  2.95389984E+02  9.29258950E-03  -5.66686677E+01
 9.33114469E-01  8.58946419E+00  2.95380005E+02  9.37173236E-03  -5.66480011E+01
 8.85254800E-01  8.71515465E+00  2.95380005E+02  9.38500557E-03  -5.66273345E+01
 1.05715168E+00  7.81885719E+00  2.95389984E+02  9.43761691E-03  -5.66066678E+01
 1.43342650E+00  8.75340939E+00  2.95399994E+02  9.46417358E-03  -5.65860012E+01
 1.33438718E+00  8.42498112E+00  2.95399994E+02  9.51060373E-03  -5.65653346E+01
 1.08212256E+00  7.60338116E+00  2.95399994E+02  9.51719470E-03  -5.65446679E+01
 1.28745675E+00  8.12867451E+00  2.95369995E+02  9.57062934E-03  -5.65240013E+01
 1.73062992E+00  8.74030972E+00  2.95350006E+02  9.64935031E-03  -5.65033347E+01
 2.10559392E+00  9.04823589E+00  2.95350006E+02  9.66923404E-03  -5.64826681E+01
 1.48082280E+00  8.57304859E+00  2.95380005E+02  9.68901906E-03  -5.64620014E+01
 1.78452969E+00  8.61716080E+00  2.95359985E+02  9.69571527E-03  -5.64413348E+01
 1.70929444E+00  7.77431107E+00  2.95359985E+02  9.70900804E-03  -5.64206682E+01
 1.60836864E+00  7.31527472E+00  2.95320007E+02  9.70880501E-03  -5.64000015E+01
 1.24409664E+00  7.35553026E+00  2.95250000E+02  9.70241241E-03  -5.63366681E+01
 1.77138412E+00  7.49347687E+00  2.95209991E+02  9.74178500E-03  -5.62733348E+01
 1.85579300E+00  7.55542421E+00  2.95169983E+02  9.75528359E-03  -5.62100014E+01
 1.27678156E+00  7.09605026E+00  2.95139984E+02  9.74219292E-03  -5.61466680E+01
 1.08729851E+00  6.29478550E+00  2.95109985E+02  9.73508693E-03  -5.60833346E+01
 1.54331923E+00  6.84825277E+00  2.95029999E+02  9.73518752E-03  -5.60200012E+01
 1.23468232E+00  6.59746170E+00  2.94979980E+02  9.74188652E-03  -5.59566678E+01
 1.29148185E+00  6.46323109E+00  2.94929993E+02  9.73518752E-03  -5.58933345E+01
 6.52257383E-01  6.20581675E+00  2.94880005E+02  9.72240325E-03  -5.58300011E+01
 7.75089741E-01  6.31259346E+00  2.94809998E+02  9.72260535E-03  -5.57666677E+01
 2.41114810E-01  6.27637053E+00  2.94760010E+02  9.70971771E-03  -5.57033343E+01
 1.57900423E-01  6.02993298E+00  2.94690002E+02  9.68962722E-03  -5.56400009E+01
 2.03499720E-01  5.82744789E+00  2.94589996E+02  9.67653655E-03  -5.55766675E+01
-1.90077603E-01  5.72984791E+00  2.94500000E+02  9.69003141E-03  -5.55133341E+01
-4.23420340E-01  6.05521393E+00  2.94410004E+02  9.67714284E-03  -5.54500008E+01
-4.72515404E-01  6.28426075E+00  2.94380005E+02  9.67024453E-03  -5.53866674E+01
-3.12344342E-01  6.38636637E+00  2.94389984E+02  9.65086184E-03  -5.53233340E+01
-1.06964648E-01  6.80915976E+00  2.94380005E+02  9.63757094E-03  -5.52600006E+01
-3.74385685E-01  7.39052343E+00  2.94369995E+02  9.63716861E-03  -5.51966672E+01
-2.87056059E-01  6.84898710E+00  2.94369995E+02  9.63716861E-03  -5.51333338E+01
 6.27440661E-02  7.18972635E+00  2.94369995E+02  9.63716861E-03  -5.50700005E+01
 3.52240019E-02  6.72690821E+00  2.94350006E+02  9.63047240E-03  -5.50066671E+01
-3.40432853E-01  6.96067953E+00  2.94309998E+02  9.63737071E-03  -5.49433337E+01
-1.21808844E-02  6.97798920E+00  2.94279999E+02  9.64426622E-03  -5.48800003E+01
-3.80714744E-01  7.02969790E+00  2.94279999E+02  9.65106301E-03  -5.48166669E+01
-2.51977980E-01  7.59582138E+00  2.94260010E+02  9.67734493E-03  -5.47533335E+01
-1.54553890E-01  7.37838173E+00  2.94269989E+02  9.68383998E-03  -5.46900002E+01
 3.45014036E-02  6.58891010E+00  2.94260010E+02  9.67084896E-03  -5.46266668E+01
 3.31714042E-02  6.33491325E+00  2.94220001E+02  9.67054628E-03  -5.45633334E+01
 4.52728570E-02  6.48484182E+00  2.94149994E+02  9.66405217E-03  -5.45000000E+01
 2.18960829E-02  6.27296162E+00  2.94079987E+02  9.66415275E-03  -5.44020000E+01
 2.23114584E-02  6.39196157E+00  2.94029999E+02  9.67734493E-03  -5.43040001E+01
 5.26474193E-02  6.03277016E+00  2.93979980E+02  9.67084896E-03  -5.42060001E+01
-3.38757485E-01  5.70194578E+00  2.93919983E+02  9.65786073E-03  -5.41080002E+01
-6.54375196E-01  6.12313271E+00  2.93839996E+02  9.67125408E-03  -5.40100002E+01
-3.13492924E-01  5.98179054E+00  2.93820007E+02  9.67084896E-03  -5.39120003E+01
-3.55859458E-01  6.17174959E+00  2.93789978E+02  9.68414359E-03  -5.38140003E+01
-4.67459053E-01  5.68581629E+00  2.93750000E+02  9.64456890E-03  -5.37160004E+01
-2.33146369E-01  5.33991241E+00  2.93660004E+02  9.65096243E-03  -5.36180004E+01
-9.30168405E-02  5.92126942E+00  2.93589996E+02  9.65765771E-03  -5.35200005E+01
 6.71356991E-02  6.41064835E+00  2.93539978E+02  9.67764854E-03  -5.34220005E+01
-1.40685484E-01  6.19940424E+00  2.93539978E+02  9.69723426E-03  -5.33240005E+01
-1.94622070E-01  6.19294262E+00  2.93500000E+02  9.67754796E-03  -5.32260006E+01
-2.43800849E-01  6.34631872E+00  2.93479980E+02  9.69733670E-03  -5.31280006E+01
-2.79670566E-01  5.93040895E+00  2.93470001E+02  9.68424510E-03  -5.30300007E+01
-2.67431319E-01  6.12516499E+00  2.93419983E+02  9.70443897E-03  -5.29320007E+01
-3.62238169E-01  5.75761604E+00  2.93419983E+02  9.69753880E-03  -5.28340008E+01
-3.48894209E-01  6.05095005E+00  2.93380005E+02  9.69764031E-03  -5.27360008E+01
-2.87626445E-01  5.88097048E+00  2.93369995E+02  9.71763395E-03  -5.26380009E+01
-3.50279212E-01  6.26521587E+00  2.93359985E+02  9.71093494E-03  -5.25400009E+01
-5.60833991E-01  6.16253281E+00  2.93350006E+02  9.71753243E-03  -5.24420010E+01
-3.62076312E-01  6.27957010E+00  2.93329987E+02  9.71763395E-03  -5.23440010E+01
-4.06254500E-01  5.95916843E+00  2.93309998E+02  9.73082799E-03  -5.22460011E+01
-3.82031679E-01  5.90766048E+00  2.93299988E+02  9.71793849E-03  -5.21480011E+01
-7.37400174E-01  6.09354448E+00  2.93299988E+02  9.73123405E-03  -5.20500011E+01
-7.20323741E-01  6.13183546E+00  2.93279999E+02  9.74504184E-03  -5.19520012E+01
