    soil_z         soil_type        soil_T          soil_q     
 0.00000000E+00  4.00000000E+00  2.99520000E+02  2.44800000E-01
 2.50000000E-02  4.00000000E+00  2.95680000E+02  2.44800000E-01
 5.00000000E-02  4.00000000E+00  2.95520000E+02  2.53500000E-01
 1.50000000E-01  4.00000000E+00  2.94750000E+02  2.52800000E-01
 2.50000000E-01  1.10000000E+01  2.93690000E+02  3.66600000E-01
 3.50000000E-01  8.00000000E+00  2.93350000E+02  3.27200000E-01
 6.00000000E-01  8.00000000E+00  2.92660000E+02  3.23000000E-01
