     atm_u           atm_v           atm_T           atm_q           R_net     
-2.13170719E+00  5.17191076E+00  3.00369995E+02  7.64281256E-03  6.61576977E+00
-2.02291894E+00  4.83594513E+00  3.00399994E+02  7.59023754E-03  5.28679975E+00
-1.83077860E+00  4.79433775E+00  3.00410004E+02  7.67479604E-03  3.95782973E+00
-1.86820066E+00  4.79168844E+00  3.00329987E+02  7.70749478E-03  2.62885971E+00
-1.97739661E+00  4.54770088E+00  3.00250000E+02  7.74003752E-03  1.29988969E+00
-2.04471540E+00  4.22969770E+00  3.00109985E+02  7.82478973E-03  -2.90803274E-02
-2.03660369E+00  4.48967075E+00  3.00019989E+02  7.78571423E-03  -1.35805035E+00
-2.30131555E+00  5.16884041E+00  3.00000000E+02  7.79884774E-03  -2.68702037E+00
-2.08289337E+00  4.74496365E+00  2.99979980E+02  7.87700713E-03  -4.01599038E+00
-2.08646655E+00  4.47444105E+00  2.99899994E+02  7.96849001E-03  -5.34496040E+00
-2.29869699E+00  4.79774904E+00  2.99880005E+02  7.97493663E-03  -6.67393042E+00
-2.29952073E+00  4.84278059E+00  2.99839996E+02  8.04660469E-03  -8.00290044E+00
-2.26845717E+00  4.61011362E+00  2.99799988E+02  8.11820105E-03  -9.33187046E+00
-2.31239271E+00  4.55797768E+00  2.99739990E+02  8.20279308E-03  -1.06608405E+01
-2.74527502E+00  4.66055202E+00  2.99699982E+02  8.24810471E-03  -1.19898105E+01
-2.41097403E+00  4.14246941E+00  2.99679993E+02  8.29342008E-03  -1.33187805E+01
-2.90406656E+00  3.88194561E+00  2.99669983E+02  8.30597244E-03  -1.46477505E+01
-3.08597183E+00  3.60046434E+00  2.99679993E+02  8.31826590E-03  -1.59767206E+01
-3.42459726E+00  2.84315610E+00  2.99699982E+02  8.30442272E-03  -1.73056906E+01
-4.05263615E+00  1.64560497E+00  2.99739990E+02  8.32934957E-03  -1.86346606E+01
-4.58989286E+00  -6.45067394E-01  2.99660004E+02  8.53176601E-03  -1.99636306E+01
-5.91126442E+00  -1.88652468E+00  2.99389984E+02  8.66191089E-03  -2.12926006E+01
-1.04974470E+01  -2.26962709E+00  2.99059998E+02  9.11544450E-03  -2.14690006E+01
-1.05186796E+01  -2.85786128E+00  2.98079987E+02  1.01272808E-02  -2.16454006E+01
-9.80845642E+00  -2.40918779E+00  2.97160004E+02  1.04050366E-02  -2.18218006E+01
-9.88294029E+00  -2.08266306E+00  2.96549988E+02  1.04669370E-02  -2.19982006E+01
-9.03132439E+00  -2.60675716E+00  2.96160004E+02  1.05215339E-02  -2.21746006E+01
-1.29609108E+01  -3.74097395E+00  2.95910004E+02  1.05009200E-02  -2.23510006E+01
-1.05570860E+01  -1.91854727E+00  2.95720001E+02  1.05160642E-02  -2.25274006E+01
-1.02459393E+01  -5.36965907E-01  2.95609985E+02  1.05484016E-02  -2.27038006E+01
-8.75838566E+00  -1.68169513E-01  2.95500000E+02  1.05674742E-02  -2.28802006E+01
-8.20077133E+00  -1.34292829E+00  2.95410004E+02  1.05912806E-02  -2.30566006E+01
-1.07332153E+01  -2.49769759E+00  2.95329987E+02  1.05967596E-02  -2.32330006E+01
-6.82793045E+00  -2.28459287E+00  2.95229980E+02  1.06101390E-02  -2.34094006E+01
-1.01930399E+01  -1.90757442E+00  2.95169983E+02  1.06199225E-02  -2.35858006E+01
-1.09691124E+01  -2.83680487E+00  2.95209991E+02  1.06537212E-02  -2.37622005E+01
-1.08695717E+01  -2.52942848E+00  2.95109985E+02  1.06953382E-02  -2.39386005E+01
-8.89477444E+00  -2.35010195E+00  2.95000000E+02  1.07197864E-02  -2.41150005E+01
-8.98902607E+00  -3.04261661E+00  2.94899994E+02  1.07556013E-02  -2.42914005E+01
-1.09314518E+01  -1.86854589E+00  2.94829987E+02  1.08208805E-02  -2.44678005E+01
-1.07273626E+01  -9.57391083E-01  2.94769989E+02  1.08507564E-02  -2.46442005E+01
-1.33401604E+01  -5.12476027E-01  2.94699982E+02  1.08473329E-02  -2.48206005E+01
-1.40087061E+01  -5.62648296E-01  2.94609985E+02  1.08296042E-02  -2.49970005E+01
-1.34809399E+01  -4.94323790E-01  2.94539978E+02  1.08231837E-02  -2.51734005E+01
-1.16728849E+01  -4.07624722E-01  2.94479980E+02  1.08109210E-02  -2.53498005E+01
-1.01850739E+01  -5.51602960E-01  2.94429993E+02  1.07942075E-02  -2.55262005E+01
-1.11953325E+01  -7.43591964E-01  2.94359985E+02  1.06974868E-02  -2.57026005E+01
-1.29897146E+01  -7.26236820E-01  2.94289978E+02  1.05573935E-02  -2.58790005E+01
-1.37199793E+01  2.39450615E-02  2.94199982E+02  1.04688331E-02  -2.60554005E+01
-1.23068323E+01  -2.79281318E-01  2.94130005E+02  1.04545951E-02  -2.62318005E+01
-1.20833530E+01  -4.00845915E-01  2.94059998E+02  1.04317702E-02  -2.64082005E+01
-1.20993366E+01  -1.26707643E-01  2.94029999E+02  1.04337893E-02  -2.65846004E+01
-1.16948500E+01  3.47095549E-01  2.93979980E+02  1.03621418E-02  -2.66253805E+01
-1.11963081E+01  1.09780884E+00  2.93929993E+02  1.02282856E-02  -2.66661605E+01
-1.17626982E+01  8.01901639E-01  2.93889984E+02  1.00649754E-02  -2.67069405E+01
-1.23284788E+01  1.93670377E-01  2.93850006E+02  9.92621854E-03  -2.67477205E+01
-1.35289898E+01  1.65294707E-01  2.93839996E+02  9.78988502E-03  -2.67885005E+01
-1.18126888E+01  6.39752388E-01  2.93809998E+02  9.69000254E-03  -2.68292805E+01
-1.12665329E+01  5.51027596E-01  2.93760010E+02  9.65026673E-03  -2.68700605E+01
-1.20798340E+01  6.32514730E-02  2.93709991E+02  9.51530226E-03  -2.69108405E+01
-1.27899218E+01  -4.46437038E-02  2.93679993E+02  9.42883827E-03  -2.69516205E+01
-1.12697258E+01  -7.86789432E-02  2.93660004E+02  9.45015997E-03  -2.69924005E+01
-1.17987604E+01  5.15145421E-01  2.93660004E+02  9.44839418E-03  -2.70331805E+01
-1.06590157E+01  4.84022349E-01  2.93639984E+02  9.46746208E-03  -2.70739605E+01
-9.37347221E+00  5.56888342E-01  2.93649994E+02  9.49248765E-03  -2.71147405E+01
-9.22017097E+00  1.42735863E+00  2.93649994E+02  9.50032100E-03  -2.71555205E+01
-9.46238995E+00  8.44496191E-01  2.93649994E+02  9.48741287E-03  -2.71963005E+01
-1.06244307E+01  5.75398624E-01  2.93669983E+02  9.44125559E-03  -2.72370805E+01
-1.03016949E+01  4.13760096E-01  2.93660004E+02  9.42169968E-03  -2.72778605E+01
-1.15771103E+01  7.28369474E-01  2.93649994E+02  9.38239694E-03  -2.73186405E+01
-1.10067139E+01  2.68998295E-01  2.93660004E+02  9.36216395E-03  -2.73594205E+01
-1.05830488E+01  2.34620547E+00  2.93679993E+02  9.34887119E-03  -2.74002005E+01
-9.99800014E+00  1.69103467E+00  2.93690002E+02  9.31525882E-03  -2.74409805E+01
-1.01305370E+01  1.80452383E+00  2.93709991E+02  9.27693862E-03  -2.74817605E+01
-8.98243046E+00  1.79486728E+00  2.93699982E+02  9.28338990E-03  -2.75225405E+01
