    soil_z          soil_T          soil_q         porosity          psi_nsat         K_nsat           b               Ci       
 0.00000000E+00  3.01950000E+02  1.11500000E-01  4.85000000E-01  -7.86000000E-01  7.20000000E-06  5.30000000E+00  1.27000000E+06
 5.00000000E-02  3.01950000E+02  1.11500000E-01  4.85000000E-01  -7.86000000E-01  7.20000000E-06  5.30000000E+00  1.27000000E+06
 1.00000000E-01  3.00450000E+02  1.70700000E-01  4.85000000E-01  -7.86000000E-01  7.20000000E-06  5.30000000E+00  1.27000000E+06
 2.00000000E-01  2.97520000E+02  3.60300000E-01  4.82000000E-01  -4.05000000E-01  1.30000000E-06  1.14000000E+01  1.09000000E+06
 5.00000000E-01  2.93520000E+02  3.27600000E-01  4.76000000E-01  -6.30000000E-01  2.50000000E-06  8.52000000E+00  1.23000000E+06
 7.50000000E-01  2.91900000E+02  1.54900000E-01  4.76000000E-01  -6.30000000E-01  2.50000000E-06  8.52000000E+00  1.23000000E+06
 1.00000000E+00  2.91950000E+02  2.08900000E+01  4.76000000E-01  -6.30000000E-01  2.50000000E-06  8.52000000E+00  1.23000000E+06
