Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
565029935,5,1,2013,0,0,15,7.8000,24.23,86920.00,9.00,4.91,7.66,15.80,0.56490,12.30,0.16348,0.00
565040135,5,1,2013,0,0,25,7.7500,24.36,86930.00,9.00,4.91,7.66,15.80,0.56516,12.30,0.16389,0.00
565050315,5,1,2013,0,0,35,7.7200,24.36,86921.00,9.00,4.91,7.66,15.80,0.56541,12.30,0.16389,0.00
565059860,5,1,2013,0,0,44,7.7100,24.36,86934.00,9.00,4.91,7.66,15.80,0.56452,12.30,0.16348,0.00
565069411,5,1,2013,0,0,54,7.6800,24.43,86934.00,9.00,4.91,7.60,15.80,0.56478,12.30,0.16389,0.00
565078956,5,1,2013,0,1,4,7.6600,24.50,86920.00,9.00,4.91,7.60,15.70,0.56516,12.30,0.16348,0.00
565089188,5,1,2013,0,1,14,7.6300,24.49,86932.00,9.00,4.91,7.60,15.70,0.56579,12.30,0.16389,0.00
565098732,5,1,2013,0,1,23,7.6200,24.53,86931.00,9.00,4.91,7.60,15.70,0.56541,12.30,0.16348,0.00
565108280,5,1,2013,0,1,33,7.5800,24.60,86918.00,9.00,4.60,7.54,15.70,0.56440,12.30,0.16389,0.00
565117829,5,1,2013,0,1,42,7.6100,24.56,86939.00,9.00,4.60,7.54,15.70,0.56554,12.30,0.16389,0.00
565127373,5,1,2013,0,1,52,7.6000,24.59,86930.00,9.00,4.60,7.54,15.70,0.56490,12.30,0.16348,0.00
565136916,5,1,2013,0,2,1,7.5800,24.63,86920.00,9.00,4.60,7.54,15.70,0.56503,12.30,0.16389,0.00
565146461,5,1,2013,0,2,11,7.6100,24.53,86922.00,9.00,4.60,7.54,15.70,0.56465,12.30,0.16389,0.00
565156004,5,1,2013,0,2,21,7.5900,24.53,86936.00,9.00,4.60,7.48,15.70,0.56503,12.30,0.16389,0.00
