Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
132825854,4,26,2013,0,0,14,4.1800,31.17,86864.00,5.20,1.41,3.10,12.80,0.54577,10.30,0.17001,0.00
132836030,4,26,2013,0,0,24,4.2000,31.30,86865.00,5.20,1.41,3.10,12.80,0.54589,10.30,0.17041,0.00
132845575,4,26,2013,0,0,33,4.2300,31.44,86862.00,5.20,1.41,3.10,12.80,0.54636,10.30,0.17001,0.00
132855117,4,26,2013,0,0,43,4.2600,31.24,86870.00,5.20,1.41,3.10,12.80,0.54624,10.30,0.17001,0.00
132864668,4,26,2013,0,0,52,4.2900,31.24,86860.00,5.20,1.41,3.10,12.80,0.54636,10.30,0.17001,0.00
132874212,4,26,2013,0,1,2,4.3200,31.04,86864.00,5.20,1.41,3.10,12.80,0.54565,10.30,0.17001,0.00
132883756,4,26,2013,0,1,12,4.3200,31.01,86863.00,5.20,1.41,3.10,12.80,0.54518,10.30,0.17041,0.00
132893299,4,26,2013,0,1,21,4.3000,31.51,86870.00,5.20,1.41,3.10,12.80,0.54577,10.30,0.17001,0.00
132902843,4,26,2013,0,1,31,4.2800,31.71,86871.00,5.20,1.41,3.10,12.80,0.54530,10.30,0.17001,0.00
132912393,4,26,2013,0,1,40,4.2500,32.07,86865.00,5.20,1.41,3.10,12.80,0.54577,10.30,0.17001,0.00
132921935,4,26,2013,0,1,50,4.2000,32.36,86861.00,5.20,1.41,3.10,12.80,0.54553,10.30,0.17001,0.00
132931479,4,26,2013,0,1,59,4.1800,32.36,86866.00,5.20,1.41,3.10,12.80,0.54601,10.30,0.17001,0.00
132941024,4,26,2013,0,2,9,4.1600,32.43,86863.00,5.20,1.41,3.10,12.80,0.54553,10.30,0.16960,0.00
132950565,4,26,2013,0,2,18,4.1400,32.19,86865.00,5.20,1.41,3.10,12.80,0.54624,10.30,0.17001,0.00
132960109,4,26,2013,0,2,28,4.1000,32.62,86865.00,5.20,1.41,3.10,12.80,0.54648,10.30,0.17001,0.00
132970310,4,26,2013,0,2,38,4.0500,33.01,86867.00,5.20,1.41,3.10,12.80,0.54565,10.30,0.17001,0.00
132980486,4,26,2013,0,2,48,4.0400,33.08,86862.00,5.20,1.41,3.10,12.80,0.54684,10.30,0.16960,0.00
132990029,4,26,2013,0,2,58,3.9900,33.27,86872.00,5.20,1.41,3.10,12.80,0.54660,10.30,0.17001,0.00
132999572,4,26,2013,0,3,7,3.9700,33.37,86862.00,5.20,1.41,3.10,12.80,0.54601,10.30,0.17001,0.00
133009115,4,26,2013,0,3,17,3.9300,33.53,86864.00,5.20,1.41,3.10,12.80,0.54577,10.30,0.16960,0.00
133018665,4,26,2013,0,3,26,3.9100,33.76,86867.00,5.20,1.41,3.10,12.80,0.54672,10.30,0.17001,0.00
133028261,4,26,2013,0,3,36,3.8800,33.98,86858.00,5.20,1.41,3.10,12.80,0.54613,10.30,0.17001,0.00
133037805,4,26,2013,0,3,46,3.8600,34.18,86863.00,5.10,1.41,3.04,12.80,0.54518,10.30,0.16960,0.00
133047350,4,26,2013,0,3,55,3.8400,33.85,86865.00,5.10,1.41,3.04,12.80,0.54530,10.30,0.16960,0.00
133056892,4,26,2013,0,4,5,3.8000,34.17,86874.00,5.10,1.10,3.04,12.80,0.54530,10.30,0.17001,0.00
133066443,4,26,2013,0,4,14,3.7700,34.47,86859.00,5.10,1.10,3.04,12.80,0.54553,10.30,0.17001,0.00
133075987,4,26,2013,0,4,24,3.7400,34.79,86868.00,5.10,1.10,2.98,12.80,0.54624,10.30,0.17041,0.00
133085531,4,26,2013,0,4,33,3.7200,34.98,86865.00,5.10,1.10,2.98,12.80,0.54577,10.30,0.17001,0.00
133095073,4,26,2013,0,4,43,3.7000,34.88,86871.00,5.10,1.10,2.98,12.80,0.54660,10.20,0.16960,0.00
133104616,4,26,2013,0,4,52,3.6800,34.72,86868.00,5.10,1.10,2.91,12.80,0.54577,10.20,0.16960,0.00
133114166,4,26,2013,0,5,2,3.6600,34.42,86863.00,5.10,1.10,2.91,12.80,0.54530,10.20,0.16960,0.00
133123709,4,26,2013,0,5,11,3.6500,34.23,86871.00,5.10,1.10,2.91,12.80,0.54624,10.20,0.16960,0.00
133133252,4,26,2013,0,5,21,3.6400,33.83,86874.00,5.10,1.10,2.85,12.80,0.54553,10.20,0.17001,0.00
133142795,4,26,2013,0,5,30,3.6200,34.03,86876.00,5.10,1.10,2.85,12.80,0.54648,10.20,0.17001,0.00
133152337,4,26,2013,0,5,40,3.6200,34.42,86874.00,5.10,1.10,2.85,12.80,0.54577,10.20,0.17001,0.00
133161881,4,26,2013,0,5,50,3.6400,34.58,86872.00,5.10,1.10,2.85,12.80,0.54542,10.20,0.16960,0.00
133171420,4,26,2013,0,5,59,3.6400,34.35,86870.00,5.10,1.10,2.85,12.80,0.54613,10.20,0.16960,0.00
133180962,4,26,2013,0,6,9,3.6400,33.96,86873.00,5.10,1.10,2.85,12.80,0.54613,10.20,0.17001,0.00
133190506,4,26,2013,0,6,18,3.6600,33.80,86870.00,5.10,1.10,2.79,12.80,0.54636,10.20,0.16960,0.00
133200051,4,26,2013,0,6,28,3.6600,34.29,86872.00,5.00,1.10,2.79,12.80,0.54530,10.20,0.16960,0.00
133209595,4,26,2013,0,6,37,3.6600,34.88,86876.00,5.00,1.10,2.79,12.80,0.54577,10.20,0.16960,0.00
133219165,4,26,2013,0,6,47,3.6400,34.81,86876.00,5.00,1.10,2.79,12.80,0.54565,10.20,0.16960,0.00
