Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
1602329329,5,13,2013,0,0,16,15.5500,34.35,87056.00,17.30,11.60,15.29,20.10,0.50550,20.20,0.15519,0.00
1602339539,5,13,2013,0,0,27,15.5700,34.32,87065.00,17.30,11.60,15.29,20.10,0.50574,20.20,0.15519,0.00
1602349766,5,13,2013,0,0,37,15.6000,34.29,87066.00,17.20,11.60,15.29,20.10,0.50479,20.20,0.15519,0.00
1602359979,5,13,2013,0,0,47,15.6200,34.29,87060.00,17.20,11.60,15.29,20.10,0.50574,20.20,0.15519,0.00
1602370194,5,13,2013,0,0,57,15.6400,34.29,87061.00,17.20,11.60,15.29,20.10,0.50515,20.20,0.15519,0.00
1602380407,5,13,2013,0,1,7,15.6600,34.23,87056.00,17.20,11.60,15.29,20.10,0.50586,20.20,0.15519,0.00
1602390617,5,13,2013,0,1,18,15.6900,34.23,87057.00,17.20,11.60,15.29,20.10,0.50539,20.20,0.15477,0.00
1602400828,5,13,2013,0,1,28,15.6800,34.26,87057.00,17.20,11.60,15.29,20.10,0.50503,20.20,0.15519,0.00
1602411047,5,13,2013,0,1,38,15.6800,34.23,87059.00,17.20,11.60,15.29,20.10,0.50609,20.20,0.15519,0.00
1602421264,5,13,2013,0,1,48,15.6700,34.23,87057.00,17.20,11.60,15.29,20.10,0.50562,20.20,0.15519,0.00
1602431473,5,13,2013,0,1,58,15.6700,34.16,87061.00,17.20,11.60,15.29,20.10,0.50562,20.10,0.15519,0.00
1602441687,5,13,2013,0,2,9,15.6500,34.16,87062.00,17.20,11.60,15.23,20.10,0.50598,20.10,0.15519,0.00
1602451897,5,13,2013,0,2,19,15.6500,34.16,87053.00,17.20,11.60,15.23,20.10,0.50539,20.10,0.15519,0.00
1602462106,5,13,2013,0,2,29,15.6400,34.19,87057.00,17.10,11.60,15.23,20.10,0.50598,20.10,0.15477,0.00
1602472327,5,13,2013,0,2,39,15.6400,34.22,87060.00,17.20,11.60,15.23,20.10,0.50621,20.10,0.15519,0.00
1602482537,5,13,2013,0,2,49,15.6000,34.25,87057.00,17.10,11.60,15.23,20.10,0.50598,20.10,0.15519,0.00
1602492746,5,13,2013,0,3,0,15.6000,34.29,87056.00,17.10,11.60,15.23,20.10,0.50574,20.10,0.15519,0.00
1602502967,5,13,2013,0,3,10,15.5800,34.35,87053.00,17.10,11.60,15.23,20.10,0.50609,20.10,0.15519,0.00
1602513176,5,13,2013,0,3,20,15.5400,34.42,87059.00,17.10,11.60,15.23,20.10,0.50574,20.10,0.15519,0.00
1602523455,5,13,2013,0,3,30,15.5000,34.45,87058.00,17.10,11.60,15.16,20.10,0.50550,20.10,0.15477,0.00
1602533665,5,13,2013,0,3,41,15.4700,34.48,87061.00,17.10,11.60,15.16,20.10,0.50586,20.10,0.15477,0.00
1602543876,5,13,2013,0,3,51,15.4600,34.48,87061.00,17.10,11.60,15.16,20.10,0.50515,20.10,0.15519,0.00
1602553441,5,13,2013,0,4,0,15.4300,34.54,87058.00,17.10,11.60,15.16,20.00,0.50503,20.10,0.15519,0.00
1602563004,5,13,2013,0,4,10,15.3800,34.67,87061.00,17.10,11.60,15.10,20.00,0.50539,20.10,0.15477,0.00
1602572574,5,13,2013,0,4,19,15.3600,34.67,87058.00,17.10,11.60,15.10,20.00,0.50515,20.10,0.15519,0.00
1602582138,5,13,2013,0,4,29,15.3200,34.73,87056.00,17.10,11.60,15.10,20.00,0.50539,20.10,0.15477,0.00
1602591703,5,13,2013,0,4,39,15.3000,34.80,87058.00,17.10,11.60,15.10,20.10,0.50550,20.10,0.15519,0.00
1602601267,5,13,2013,0,4,48,15.2800,34.87,87058.00,17.10,11.60,15.04,20.10,0.50562,20.10,0.15519,0.00
1602610831,5,13,2013,0,4,58,15.2400,34.93,87061.00,17.00,11.60,15.04,20.00,0.50527,20.10,0.15519,0.00
1602620401,5,13,2013,0,5,7,15.2200,34.96,87060.00,17.00,11.60,15.04,20.00,0.50574,20.10,0.15477,0.00
1602629965,5,13,2013,0,5,17,15.2000,35.06,87058.00,17.00,11.60,15.04,20.10,0.50503,20.10,0.15477,0.00
1602639529,5,13,2013,0,5,26,15.1600,35.09,87057.00,17.00,11.60,14.98,20.00,0.50562,20.10,0.15477,0.00
1602649094,5,13,2013,0,5,36,15.1400,35.12,87053.00,17.00,11.60,14.98,20.00,0.50574,20.10,0.15477,0.00
1602658657,5,13,2013,0,5,46,15.1200,35.12,87053.00,17.00,11.60,14.98,20.10,0.50586,20.10,0.15477,0.00
1602668228,5,13,2013,0,5,55,15.1100,35.19,87054.00,17.00,11.60,14.98,20.00,0.50574,20.10,0.15477,0.00
1602677792,5,13,2013,0,6,5,15.1000,35.19,87058.00,17.00,11.60,14.98,20.00,0.50586,20.10,0.15477,0.00
1602687357,5,13,2013,0,6,14,15.0900,35.22,87056.00,17.00,11.60,14.91,20.00,0.50586,20.10,0.15519,0.00
1602696923,5,13,2013,0,6,24,15.0700,35.25,87059.00,17.00,11.60,14.91,20.00,0.50491,20.10,0.15477,0.00
1602706488,5,13,2013,0,6,33,15.0600,35.25,87055.00,17.00,11.60,14.91,20.00,0.50550,20.10,0.15477,0.00
1602716826,5,13,2013,0,6,44,15.0700,35.22,87060.00,17.00,11.60,14.91,20.00,0.50550,20.10,0.15519,0.00
1602727036,5,13,2013,0,6,54,15.0800,35.22,87058.00,17.00,11.60,14.91,20.00,0.50562,20.10,0.15477,0.00
1602737247,5,13,2013,0,7,4,15.1000,35.12,87056.00,16.90,11.60,14.91,20.00,0.50527,20.10,0.15477,0.00
