Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
1343018405,5,10,2013,0,0,18,11.7800,49.85,86952.00,13.10,8.16,11.54,17.60,0.50692,16.50,0.15685,0.00
1343028612,5,10,2013,0,0,28,11.7800,49.85,86960.00,13.10,8.16,11.48,17.60,0.50821,16.50,0.15685,0.00
1343038816,5,10,2013,0,0,38,11.8000,49.85,86960.00,13.10,8.16,11.48,17.60,0.50821,16.50,0.15685,0.00
1343049022,5,10,2013,0,0,48,11.8000,49.85,86958.00,13.10,8.16,11.48,17.60,0.50774,16.50,0.15685,0.00
1343059233,5,10,2013,0,0,59,11.7800,49.85,86950.00,13.00,8.16,11.48,17.60,0.50809,16.50,0.15644,0.00
1343069455,5,10,2013,0,1,9,11.7800,49.88,86973.00,13.10,8.16,11.48,17.60,0.50751,16.50,0.15685,0.00
1343079660,5,10,2013,0,1,19,11.7800,49.85,86956.00,13.10,8.16,11.41,17.60,0.50798,16.50,0.15685,0.00
1343089866,5,10,2013,0,1,29,11.7400,49.91,86955.00,13.10,8.16,11.41,17.60,0.50751,16.50,0.15685,0.00
1343099429,5,10,2013,0,1,39,11.7600,49.91,86960.00,13.10,8.16,11.48,17.60,0.50762,16.50,0.15685,0.00
1343109001,5,10,2013,0,1,48,11.7500,49.94,86960.00,13.10,8.16,11.41,17.60,0.50668,16.50,0.15685,0.00
1343118566,5,10,2013,0,1,58,11.7500,49.94,86971.00,13.10,8.16,11.41,17.60,0.50821,16.50,0.15685,0.00
1343128130,5,10,2013,0,2,7,11.7600,49.94,86946.00,13.00,8.16,11.41,17.60,0.50809,16.50,0.15685,0.00
1343137694,5,10,2013,0,2,17,11.7400,49.94,86961.00,13.10,8.16,11.41,17.60,0.50809,16.50,0.15685,0.00
1343147259,5,10,2013,0,2,27,11.7200,50.00,86958.00,13.10,8.16,11.41,17.60,0.50809,16.50,0.15685,0.00
1343156830,5,10,2013,0,2,36,11.7000,50.03,86962.00,13.10,8.16,11.41,17.60,0.50715,16.50,0.15644,0.00
1343166394,5,10,2013,0,2,46,11.6800,50.09,86966.00,13.10,8.16,11.35,17.60,0.50739,16.40,0.15685,0.00
1343175959,5,10,2013,0,2,55,11.6600,50.15,86961.00,13.10,8.16,11.35,17.60,0.50739,16.40,0.15685,0.00
1343185584,5,10,2013,0,3,5,11.6400,50.14,86961.00,13.10,8.16,11.35,17.60,0.50668,16.40,0.15685,0.00
1343195148,5,10,2013,0,3,14,11.6500,50.17,86949.00,13.00,8.16,11.35,17.60,0.50668,16.40,0.15685,0.00
1343204717,5,10,2013,0,3,24,11.6400,50.20,86952.00,13.00,8.16,11.35,17.60,0.50798,16.40,0.15685,0.00
1343214281,5,10,2013,0,3,34,11.6300,50.20,86957.00,13.00,8.16,11.35,17.60,0.50657,16.40,0.15685,0.00
1343223846,5,10,2013,0,3,43,11.6200,50.26,86966.00,13.00,8.16,11.35,17.60,0.50751,16.40,0.15644,0.00
1343233410,5,10,2013,0,3,53,11.5700,50.29,86958.00,13.00,8.16,11.35,17.60,0.50727,16.40,0.15685,0.00
1343242974,5,10,2013,0,4,2,11.5400,50.37,86959.00,13.00,8.16,11.35,17.60,0.50762,16.40,0.15685,0.00
1343252545,5,10,2013,0,4,12,11.5000,50.46,86955.00,13.00,8.16,11.35,17.60,0.50762,16.40,0.15685,0.00
1343262109,5,10,2013,0,4,21,11.5000,50.49,86960.00,13.00,8.16,11.29,17.60,0.50809,16.40,0.15685,0.00
1343271674,5,10,2013,0,4,31,11.5800,50.44,86956.00,13.00,8.16,11.29,17.60,0.50727,16.40,0.15685,0.00
1343281239,5,10,2013,0,4,40,11.6200,50.36,86958.00,13.00,8.16,11.23,17.60,0.50657,16.40,0.15685,0.00
1343290803,5,10,2013,0,4,50,11.6700,50.27,86954.00,13.00,8.16,11.23,17.60,0.50680,16.40,0.15685,0.00
1343300374,5,10,2013,0,5,0,11.7500,50.13,86964.00,13.00,8.16,11.23,17.60,0.50657,16.40,0.15685,0.00
1343309938,5,10,2013,0,5,9,11.8100,49.98,86960.00,13.00,8.16,11.23,17.60,0.50751,16.40,0.15685,0.00
1343319503,5,10,2013,0,5,19,11.8900,49.83,86962.00,13.00,8.16,11.23,17.60,0.50680,16.40,0.15685,0.00
1343329720,5,10,2013,0,5,29,11.9200,49.69,86960.00,13.00,8.16,11.29,17.60,0.50668,16.40,0.15644,0.00
1343339924,5,10,2013,0,5,39,11.9400,49.57,86956.00,13.00,8.16,11.23,17.60,0.50821,16.40,0.15644,0.00
1343350135,5,10,2013,0,5,49,11.9500,49.50,86962.00,13.00,8.16,11.29,17.60,0.50762,16.40,0.15685,0.00
1343360361,5,10,2013,0,6,0,11.9800,49.41,86967.00,13.00,8.16,11.29,17.60,0.50704,16.40,0.15644,0.00
1343370565,5,10,2013,0,6,10,11.9600,49.38,86959.00,13.00,8.16,11.29,17.60,0.50786,16.40,0.15644,0.00
1343380771,5,10,2013,0,6,20,12.0000,49.26,86965.00,13.00,8.16,11.29,17.60,0.50727,16.40,0.15644,0.00
1343390337,5,10,2013,0,6,30,12.0600,49.18,86957.00,13.00,8.16,11.29,17.60,0.50809,16.40,0.15644,0.00
1343400631,5,10,2013,0,6,40,12.1400,49.03,86968.00,13.00,8.16,11.29,17.60,0.50727,16.40,0.15685,0.00
1343410836,5,10,2013,0,6,50,12.1500,48.91,86964.00,13.00,8.16,11.29,17.60,0.50739,16.40,0.15602,0.00
1343421042,5,10,2013,0,7,0,12.1200,48.88,86959.00,13.00,8.16,11.29,17.60,0.50751,16.40,0.15685,0.00
1343430606,5,10,2013,0,7,10,12.0600,48.93,86966.00,13.00,8.16,11.29,17.60,0.50809,16.40,0.15685,0.00
1343440171,5,10,2013,0,7,19,12.0000,49.01,86975.00,12.90,8.16,11.29,17.60,0.50774,16.40,0.15685,0.00
1343449741,5,10,2013,0,7,29,11.9700,49.13,86968.00,13.00,8.16,11.29,17.60,0.50668,16.40,0.15685,0.00
1343459306,5,10,2013,0,7,38,11.9700,49.14,86958.00,13.00,8.16,11.23,17.60,0.50809,16.40,0.15644,0.00
1343468870,5,10,2013,0,7,48,12.0100,49.14,86970.00,12.90,8.16,11.23,17.60,0.50680,16.40,0.15644,0.00
1343478435,5,10,2013,0,7,58,12.0700,49.02,86969.00,12.90,8.16,11.29,17.60,0.50668,16.40,0.15685,0.00
1343488000,5,10,2013,0,8,7,12.0800,49.03,86970.00,13.00,8.16,11.29,17.60,0.50668,16.40,0.15602,0.00
1343497569,5,10,2013,0,8,17,12.1200,48.91,86957.00,12.90,8.16,11.29,17.60,0.50645,16.30,0.15685,0.00
1343507134,5,10,2013,0,8,26,12.1300,48.85,86959.00,12.90,8.16,11.29,17.60,0.50751,16.40,0.15685,0.00
1343516698,5,10,2013,0,8,36,12.1500,48.79,86965.00,12.90,8.16,11.35,17.60,0.50774,16.30,0.15685,0.00
1343526262,5,10,2013,0,8,45,12.1600,48.72,86965.00,12.90,8.16,11.35,17.60,0.50809,16.30,0.15644,0.00
1343535826,5,10,2013,0,8,55,12.1800,48.73,86966.00,12.90,8.16,11.35,17.60,0.50798,16.30,0.15644,0.00
1343545405,5,10,2013,0,9,4,12.2400,48.58,86965.00,12.90,8.16,11.35,17.60,0.50704,16.30,0.15685,0.00
1343554969,5,10,2013,0,9,14,12.2400,48.55,86964.00,12.90,8.16,11.35,17.60,0.50739,16.30,0.15644,0.00
1343564534,5,10,2013,0,9,24,12.2800,48.46,86969.00,12.90,8.16,11.35,17.60,0.50668,16.30,0.15644,0.00
1343574097,5,10,2013,0,9,33,12.2800,48.43,86970.00,12.90,8.16,11.35,17.50,0.50751,16.30,0.15644,0.00
1343583663,5,10,2013,0,9,43,12.2700,48.40,86967.00,12.90,8.16,11.35,17.60,0.50704,16.30,0.15644,0.00
1343593293,5,10,2013,0,9,52,12.2800,48.37,86968.00,12.90,8.16,11.35,17.60,0.50762,16.30,0.15644,0.00
1343602891,5,10,2013,0,10,2,12.2400,48.39,86965.00,12.90,8.16,11.41,17.60,0.50657,16.30,0.15644,0.00
1343612454,5,10,2013,0,10,11,12.2300,48.42,86969.00,12.90,8.16,11.41,17.60,0.50739,16.30,0.15685,0.00
1343622019,5,10,2013,0,10,21,12.1600,48.51,86969.00,12.90,8.16,11.41,17.60,0.50645,16.30,0.15644,0.00
1343631583,5,10,2013,0,10,31,12.1100,48.59,86967.00,12.90,8.16,11.35,17.60,0.50680,16.30,0.15644,0.00
1343641153,5,10,2013,0,10,40,12.0600,48.68,86970.00,12.90,8.16,11.35,17.60,0.50668,16.30,0.15685,0.00
1343650717,5,10,2013,0,10,50,12.0000,48.83,86969.00,12.90,8.16,11.35,17.60,0.50657,16.30,0.15644,0.00
1343660281,5,10,2013,0,10,59,11.9600,48.98,86964.00,12.90,8.16,11.35,17.60,0.50680,16.30,0.15685,0.00
1343669846,5,10,2013,0,11,9,11.9000,49.09,86970.00,12.90,8.16,11.35,17.60,0.50739,16.30,0.15644,0.00
1343679410,5,10,2013,0,11,18,11.8800,49.19,86959.00,12.90,8.16,11.35,17.50,0.50692,16.30,0.15644,0.00
1343688981,5,10,2013,0,11,28,11.8700,49.28,86961.00,12.90,8.16,11.29,17.50,0.50739,16.30,0.15685,0.00
1343698546,5,10,2013,0,11,38,11.8600,49.34,86972.00,12.90,8.16,11.35,17.50,0.50739,16.30,0.15685,0.00
1343708110,5,10,2013,0,11,47,11.8400,49.37,86971.00,12.90,8.16,11.29,17.60,0.50739,16.30,0.15644,0.00
1343717675,5,10,2013,0,11,57,11.8400,49.43,86963.00,12.90,8.16,11.29,17.50,0.50727,16.30,0.15685,0.00
1343727238,5,10,2013,0,12,6,11.8500,49.43,86964.00,12.90,8.16,11.29,17.50,0.50809,16.30,0.15644,0.00
1343736809,5,10,2013,0,12,16,11.8400,49.43,86967.00,12.90,8.16,11.29,17.50,0.50739,16.30,0.15644,0.00
1343746374,5,10,2013,0,12,25,11.8400,49.43,86961.00,12.90,8.16,11.29,17.50,0.50692,16.30,0.15644,0.00
1343755937,5,10,2013,0,12,35,11.8200,49.49,86966.00,12.90,8.16,11.23,17.50,0.50668,16.30,0.15644,0.00
1343765501,5,10,2013,0,12,44,11.8200,49.52,86967.00,12.90,8.16,11.23,17.50,0.50727,16.30,0.15644,0.00
1343775065,5,10,2013,0,12,54,11.8000,49.54,86972.00,12.90,8.16,11.29,17.50,0.50798,16.30,0.15644,0.00
1343785354,5,10,2013,0,13,4,11.7600,49.60,86964.00,12.90,8.16,11.23,17.50,0.50833,16.30,0.15644,0.00
1343795559,5,10,2013,0,13,15,11.7300,49.69,86970.00,12.90,7.85,11.23,17.50,0.50727,16.30,0.15644,0.00
1343805764,5,10,2013,0,13,25,11.7100,49.78,86971.00,12.90,7.85,11.23,17.50,0.50704,16.30,0.15644,0.00
1343815980,5,10,2013,0,13,35,11.6600,49.84,86974.00,12.90,7.85,11.16,17.50,0.50657,16.30,0.15644,0.00
1343826185,5,10,2013,0,13,45,11.6400,49.96,86971.00,12.90,7.85,11.16,17.50,0.50715,16.30,0.15644,0.00
1343836395,5,10,2013,0,13,55,11.6200,49.99,86966.00,12.90,7.85,11.16,17.50,0.50798,16.30,0.15644,0.00
1343845958,5,10,2013,0,14,5,11.6300,50.02,86962.00,12.90,7.85,11.16,17.50,0.50715,16.30,0.15602,0.00
1343855522,5,10,2013,0,14,14,11.6600,50.02,86960.00,12.90,7.85,11.16,17.50,0.50821,16.30,0.15644,0.00
1343865086,5,10,2013,0,14,24,11.6900,50.00,86960.00,12.90,7.85,11.16,17.50,0.50715,16.20,0.15644,0.00
1343874652,5,10,2013,0,14,34,11.7400,49.91,86963.00,12.90,7.85,11.10,17.50,0.50774,16.20,0.15644,0.00
1343884222,5,10,2013,0,14,43,11.7600,49.85,86962.00,12.80,7.85,11.10,17.50,0.50704,16.20,0.15644,0.00
1343893785,5,10,2013,0,14,53,11.7600,49.79,86966.00,12.80,7.85,11.10,17.50,0.50645,16.20,0.15644,0.00
1343903350,5,10,2013,0,15,2,11.7900,49.73,86963.00,12.90,7.85,11.10,17.50,0.50715,16.20,0.15644,0.00
1343912913,5,10,2013,0,15,12,11.7800,49.70,86967.00,12.80,7.85,11.16,17.50,0.50704,16.20,0.15644,0.00
1343922479,5,10,2013,0,15,21,11.7600,49.69,86965.00,12.80,7.85,11.10,17.50,0.50727,16.20,0.15644,0.00
1343932049,5,10,2013,0,15,31,11.7400,49.76,86961.00,12.80,7.85,11.10,17.50,0.50715,16.20,0.15644,0.00
1343941613,5,10,2013,0,15,40,11.7400,49.79,86967.00,12.80,7.85,11.10,17.50,0.50727,16.20,0.15602,0.00
1343951177,5,10,2013,0,15,50,11.7700,49.73,86965.00,12.80,7.85,11.10,17.50,0.50704,16.20,0.15644,0.00
1343960740,5,10,2013,0,16,0,11.7800,49.73,86962.00,12.80,7.85,11.10,17.50,0.50680,16.20,0.15644,0.00
1343970305,5,10,2013,0,16,9,11.7800,49.70,86974.00,12.80,7.85,11.10,17.50,0.50786,16.20,0.15602,0.00
1343979875,5,10,2013,0,16,19,11.7900,49.70,86965.00,12.80,7.85,11.10,17.50,0.50657,16.20,0.15644,0.00
1343989439,5,10,2013,0,16,28,11.7800,49.73,86966.00,12.80,7.85,11.10,17.50,0.50762,16.20,0.15644,0.00
1343999707,5,10,2013,0,16,39,11.7600,49.73,86965.00,12.80,7.85,11.10,17.50,0.50586,16.20,0.15602,0.00
1344009911,5,10,2013,0,16,49,11.7300,49.72,86973.00,12.80,7.85,11.10,17.50,0.50739,16.20,0.15602,0.00
1344020115,5,10,2013,0,16,59,11.7000,49.81,86961.00,12.80,7.85,11.10,17.50,0.50668,16.20,0.15644,0.00
1344029686,5,10,2013,0,17,8,11.6600,49.90,86965.00,12.80,7.85,11.10,17.50,0.50715,16.20,0.15644,0.00
1344039249,5,10,2013,0,17,18,11.6400,49.96,86966.00,12.80,7.85,11.10,17.50,0.50739,16.20,0.15644,0.00
1344048814,5,10,2013,0,17,28,11.6200,50.05,86969.00,12.80,7.85,11.10,17.50,0.50727,16.20,0.15644,0.00
1344058378,5,10,2013,0,17,37,11.5900,50.07,86966.00,12.80,7.85,11.04,17.50,0.50798,16.20,0.15644,0.00
1344067941,5,10,2013,0,17,47,11.5800,50.13,86968.00,12.80,7.85,11.10,17.50,0.50727,16.20,0.15644,0.00
1344077511,5,10,2013,0,17,56,11.5400,50.19,86963.00,12.80,7.85,11.04,17.50,0.50727,16.20,0.15644,0.00
1344087075,5,10,2013,0,18,6,11.5400,50.25,86964.00,12.80,7.85,11.04,17.50,0.50668,16.20,0.15644,0.00
1344096641,5,10,2013,0,18,15,11.5100,50.31,86966.00,12.80,7.85,11.04,17.50,0.50657,16.20,0.15602,0.00
