Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
305705065,4,28,2013,0,0,10,9.5100,44.48,86925.00,11.10,6.98,9.54,14.80,0.56364,14.50,0.17445,0.00
305715267,4,28,2013,0,0,20,9.5000,44.48,86925.00,11.10,6.98,9.54,14.80,0.56352,14.50,0.17445,0.00
305725469,4,28,2013,0,0,30,9.5200,44.41,86925.00,11.10,6.98,9.48,14.80,0.56452,14.50,0.17445,0.00
305735672,4,28,2013,0,0,40,9.5200,44.32,86928.00,11.10,6.98,9.54,14.80,0.56402,14.50,0.17485,0.00
305745882,4,28,2013,0,0,51,9.5200,44.20,86924.00,11.10,6.98,9.54,14.80,0.56452,14.50,0.17445,0.00
305756094,4,28,2013,0,1,1,9.5400,44.20,86923.00,11.10,6.98,9.54,14.90,0.56389,14.50,0.17485,0.00
305766297,4,28,2013,0,1,11,9.5600,44.10,86921.00,11.10,6.98,9.48,14.80,0.56389,14.50,0.17445,0.00
305776499,4,28,2013,0,1,21,9.5800,43.98,86924.00,11.10,6.98,9.48,14.80,0.56402,14.50,0.17445,0.00
305786064,4,28,2013,0,1,31,9.5900,43.95,86930.00,11.00,6.98,9.48,14.80,0.56377,14.50,0.17445,0.00
305795635,4,28,2013,0,1,40,9.6200,43.83,86924.00,11.10,6.98,9.48,14.90,0.56427,14.50,0.17485,0.00
305805200,4,28,2013,0,1,50,9.6400,43.61,86921.00,11.00,6.98,9.54,14.80,0.56364,14.50,0.17445,0.00
305814764,4,28,2013,0,1,59,9.6600,43.58,86921.00,11.00,6.98,9.54,14.80,0.56402,14.40,0.17485,0.00
305824329,4,28,2013,0,2,9,9.6400,43.73,86926.00,11.00,6.98,9.54,14.80,0.56389,14.40,0.17485,0.00
305833892,4,28,2013,0,2,19,9.6500,43.70,86921.00,11.00,6.98,9.54,14.80,0.56452,14.40,0.17445,0.00
305843463,4,28,2013,0,2,28,9.6300,43.83,86926.00,11.00,6.98,9.54,14.80,0.56339,14.40,0.17445,0.00
305853028,4,28,2013,0,2,38,9.6200,43.86,86924.00,11.00,6.98,9.48,14.80,0.56402,14.40,0.17445,0.00
305862591,4,28,2013,0,2,47,9.6200,43.89,86922.00,11.00,6.98,9.48,14.80,0.56364,14.40,0.17445,0.00
305872154,4,28,2013,0,2,57,9.6400,43.70,86926.00,11.00,6.98,9.54,14.80,0.56440,14.40,0.17405,0.00
305881719,4,28,2013,0,3,6,9.6400,43.67,86925.00,11.00,6.98,9.54,14.80,0.56440,14.40,0.17445,0.00
305891283,4,28,2013,0,3,16,9.6500,43.64,86930.00,11.00,6.98,9.54,14.80,0.56352,14.40,0.17445,0.00
305900854,4,28,2013,0,3,25,9.6700,43.52,86916.00,11.00,6.98,9.54,14.80,0.56352,14.40,0.17445,0.00
305910419,4,28,2013,0,3,35,9.6900,43.52,86922.00,11.00,6.98,9.54,14.80,0.56389,14.40,0.17445,0.00
305920684,4,28,2013,0,3,45,9.6800,43.48,86923.00,11.00,6.98,9.54,14.80,0.56352,14.40,0.17405,0.00
305930886,4,28,2013,0,3,56,9.6900,43.49,86918.00,11.00,6.98,9.54,14.80,0.56364,14.40,0.17445,0.00
305941087,4,28,2013,0,4,6,9.7000,43.33,86921.00,11.00,6.98,9.54,14.80,0.56352,14.40,0.17445,0.00
305951296,4,28,2013,0,4,16,9.7000,43.27,86925.00,11.00,6.98,9.54,14.80,0.56415,14.40,0.17445,0.00
305961498,4,28,2013,0,4,26,9.7200,43.33,86921.00,11.00,6.98,9.54,14.80,0.56377,14.40,0.17445,0.00
305971713,4,28,2013,0,4,36,9.7100,43.30,86925.00,11.00,6.98,9.60,14.80,0.56402,14.40,0.17405,0.00
305981915,4,28,2013,0,4,47,9.7200,43.23,86924.00,11.00,6.98,9.60,14.80,0.56377,14.40,0.17445,0.00
305992117,4,28,2013,0,4,57,9.7400,43.14,86918.00,11.00,6.98,9.60,14.80,0.56427,14.40,0.17445,0.00
306001687,4,28,2013,0,5,6,9.7300,43.17,86925.00,11.00,6.98,9.60,14.80,0.56352,14.40,0.17445,0.00
306011251,4,28,2013,0,5,16,9.7400,43.17,86923.00,11.00,6.98,9.60,14.80,0.56427,14.40,0.17445,0.00
306020815,4,28,2013,0,5,25,9.7600,42.96,86924.00,11.00,6.98,9.60,14.80,0.56415,14.40,0.17405,0.00
306030380,4,28,2013,0,5,35,9.7600,43.02,86928.00,11.00,6.98,9.60,14.80,0.56415,14.40,0.17445,0.00
306039944,4,28,2013,0,5,45,9.7500,43.05,86933.00,11.00,6.98,9.60,14.80,0.56352,14.40,0.17445,0.00
306049515,4,28,2013,0,5,54,9.7800,42.80,86929.00,11.00,6.98,9.60,14.80,0.56402,14.40,0.17445,0.00
306059079,4,28,2013,0,6,4,9.8200,42.58,86932.00,11.00,6.98,9.60,14.80,0.56440,14.40,0.17445,0.00
306068642,4,28,2013,0,6,13,9.8200,42.51,86927.00,11.00,6.98,9.60,14.80,0.56427,14.40,0.17405,0.00
306078205,4,28,2013,0,6,23,9.8400,42.67,86932.00,11.00,6.98,9.60,14.80,0.56339,14.40,0.17445,0.00
306087771,4,28,2013,0,6,32,9.8400,42.71,86923.00,11.00,6.98,9.66,14.80,0.56440,14.40,0.17405,0.00
306097360,4,28,2013,0,6,42,9.8400,42.68,86923.00,11.00,6.98,9.66,14.80,0.56352,14.40,0.17445,0.00
306106926,4,28,2013,0,6,51,9.8600,42.61,86923.00,11.00,6.98,9.66,14.80,0.56427,14.40,0.17445,0.00
306116490,4,28,2013,0,7,1,9.8400,42.61,86922.00,11.00,6.98,9.66,14.80,0.56364,14.40,0.17445,0.00
306126054,4,28,2013,0,7,11,9.8600,42.55,86926.00,11.00,6.98,9.66,14.80,0.56339,14.40,0.17405,0.00
306136310,4,28,2013,0,7,21,9.8600,42.55,86927.00,11.00,6.98,9.66,14.80,0.56352,14.30,0.17405,0.00
306146513,4,28,2013,0,7,31,9.9000,42.33,86923.00,11.00,6.98,9.66,14.80,0.56440,14.30,0.17405,0.00
306156723,4,28,2013,0,7,41,9.9200,42.24,86926.00,11.00,6.98,9.66,14.80,0.56415,14.30,0.17445,0.00
306166945,4,28,2013,0,7,51,9.9600,42.11,86920.00,11.00,6.98,9.66,14.80,0.56440,14.30,0.17445,0.00
306177148,4,28,2013,0,8,2,9.9700,42.08,86915.00,11.00,6.98,9.66,14.80,0.56452,14.30,0.17405,0.00
306187351,4,28,2013,0,8,12,9.9800,42.15,86922.00,11.00,6.98,9.73,14.80,0.56427,14.30,0.17445,0.00
306196917,4,28,2013,0,8,21,10.0000,42.15,86917.00,11.00,6.98,9.73,14.80,0.56452,14.30,0.17405,0.00
306206488,4,28,2013,0,8,31,9.9900,42.27,86917.00,11.00,6.98,9.73,14.80,0.56427,14.30,0.17405,0.00
306216052,4,28,2013,0,8,41,9.9600,42.31,86918.00,11.00,6.98,9.73,14.80,0.56352,14.30,0.17405,0.00
306225616,4,28,2013,0,8,50,9.9900,42.21,86923.00,11.00,6.98,9.73,14.80,0.56452,14.30,0.17445,0.00
306235181,4,28,2013,0,9,0,9.9800,42.24,86918.00,11.00,6.98,9.73,14.80,0.56364,14.30,0.17405,0.00
306244745,4,28,2013,0,9,9,9.9800,42.15,86914.00,11.00,6.98,9.73,14.80,0.56377,14.30,0.17445,0.00
306254321,4,28,2013,0,9,19,9.9800,42.09,86925.00,11.00,6.98,9.73,14.80,0.56427,14.30,0.17405,0.00
306263886,4,28,2013,0,9,28,10.0000,41.99,86915.00,11.00,6.98,9.73,14.80,0.56465,14.30,0.17405,0.00
306273451,4,28,2013,0,9,38,10.0200,41.96,86919.00,11.00,6.98,9.73,14.80,0.56364,14.30,0.17445,0.00
306283016,4,28,2013,0,9,47,10.0200,41.96,86922.00,11.00,6.98,9.73,14.80,0.56377,14.30,0.17445,0.00
306292581,4,28,2013,0,9,57,10.0200,41.93,86913.00,11.00,6.98,9.73,14.80,0.56352,14.30,0.17405,0.00
306302151,4,28,2013,0,10,7,10.0500,41.90,86918.00,11.00,6.98,9.73,14.80,0.56364,14.30,0.17405,0.00
306311716,4,28,2013,0,10,16,10.0400,41.86,86913.00,11.00,6.98,9.73,14.80,0.56465,14.30,0.17445,0.00
