Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
997244305,5,6,2013,0,0,11,17.4500,21.62,86179.00,18.80,13.35,17.29,16.70,0.53607,18.40,0.16716,0.00
997254518,5,6,2013,0,0,22,17.4200,21.69,86176.00,18.80,13.35,17.29,16.70,0.53491,18.40,0.16716,0.00
997264733,5,6,2013,0,0,32,17.4000,21.83,86186.00,18.80,13.35,17.29,16.70,0.53422,18.40,0.16716,0.00
997274955,5,6,2013,0,0,42,17.3700,21.83,86181.00,18.80,13.35,17.29,16.70,0.53537,18.40,0.16716,0.00
997285175,5,6,2013,0,0,52,17.3600,21.76,86183.00,18.80,13.35,17.29,16.70,0.53445,18.40,0.16716,0.00
997295388,5,6,2013,0,1,2,17.3400,21.83,86182.00,18.80,13.35,17.29,16.70,0.53491,18.40,0.16675,0.00
997305603,5,6,2013,0,1,13,17.3300,21.76,86184.00,18.80,13.35,17.23,16.70,0.53491,18.40,0.16675,0.00
997315168,5,6,2013,0,1,22,17.3800,21.54,86183.00,18.80,13.35,17.23,16.70,0.53549,18.40,0.16635,0.00
997324731,5,6,2013,0,1,32,17.3700,21.61,86190.00,18.80,13.35,17.23,16.70,0.53560,18.40,0.16675,0.00
997334303,5,6,2013,0,1,41,17.3500,21.68,86184.00,18.80,13.35,17.23,16.70,0.53549,18.40,0.16635,0.00
997343867,5,6,2013,0,1,51,17.3500,21.61,86188.00,18.80,13.35,17.23,16.70,0.53491,18.40,0.16675,0.00
997353433,5,6,2013,0,2,0,17.3100,21.83,86190.00,18.80,13.35,17.23,16.70,0.53549,18.40,0.16716,0.00
997362998,5,6,2013,0,2,10,17.3000,21.79,86184.00,18.80,13.35,17.23,16.70,0.53584,18.40,0.16675,0.00
997372563,5,6,2013,0,2,20,17.3000,21.61,86189.00,18.80,13.35,17.23,16.70,0.53514,18.40,0.16675,0.00
997382139,5,6,2013,0,2,29,17.2800,21.79,86190.00,18.80,13.35,17.23,16.70,0.53537,18.40,0.16675,0.00
997392409,5,6,2013,0,2,39,17.2400,21.86,86186.00,18.80,13.35,17.23,16.70,0.53479,18.40,0.16675,0.00
997402642,5,6,2013,0,2,50,17.2100,21.96,86192.00,18.70,13.04,17.16,16.70,0.53514,18.40,0.16675,0.00
997412856,5,6,2013,0,3,0,17.1300,22.17,86188.00,18.70,13.04,17.16,16.70,0.53560,18.40,0.16675,0.00
997423070,5,6,2013,0,3,10,17.0600,22.24,86189.00,18.70,13.04,17.10,16.70,0.53433,18.40,0.16675,0.00
997433289,5,6,2013,0,3,20,17.0100,22.35,86191.00,18.70,12.73,17.10,16.70,0.53514,18.40,0.16675,0.00
997442853,5,6,2013,0,3,30,16.9700,22.45,86188.00,18.70,12.73,17.04,16.70,0.53618,18.40,0.16675,0.00
