Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
910804305,5,5,2013,0,0,11,7.9000,47.31,86178.00,11.00,6.04,7.98,15.30,0.52891,14.10,0.16142,0.00
910813850,5,5,2013,0,0,21,7.8800,47.40,86184.00,10.90,6.04,7.98,15.30,0.52788,14.10,0.16100,0.00
910823395,5,5,2013,0,0,30,7.8600,47.46,86182.00,10.90,6.04,7.91,15.30,0.52983,14.10,0.16142,0.00
910832939,5,5,2013,0,0,40,7.8400,47.52,86172.00,10.90,6.04,7.91,15.30,0.52822,14.10,0.16183,0.00
910842488,5,5,2013,0,0,50,7.8400,47.58,86177.00,10.90,6.04,7.91,15.30,0.52845,14.10,0.16142,0.00
910852032,5,5,2013,0,0,59,7.8800,47.49,86179.00,10.90,6.04,7.91,15.30,0.52937,14.10,0.16142,0.00
910861577,5,5,2013,0,1,9,7.8800,47.43,86187.00,10.90,6.04,7.85,15.30,0.52972,14.10,0.16142,0.00
910871121,5,5,2013,0,1,18,7.9000,47.37,86186.00,10.90,6.04,7.85,15.30,0.52903,14.10,0.16142,0.00
910880664,5,5,2013,0,1,28,7.9500,47.22,86188.00,10.90,6.04,7.85,15.30,0.52857,14.10,0.16142,0.00
910890215,5,5,2013,0,1,37,8.0000,47.04,86188.00,10.90,6.04,7.85,15.30,0.52845,14.10,0.16142,0.00
910899759,5,5,2013,0,1,47,8.0400,46.86,86191.00,10.90,6.04,7.85,15.30,0.52868,14.10,0.16100,0.00
910909995,5,5,2013,0,1,57,8.0800,46.71,86182.00,10.80,6.04,7.91,15.30,0.52834,14.10,0.16100,0.00
910919538,5,5,2013,0,2,7,8.1700,46.54,86183.00,10.80,6.04,7.91,15.30,0.52914,14.10,0.16142,0.00
910929082,5,5,2013,0,2,16,8.2800,46.30,86178.00,10.80,6.04,7.91,15.30,0.52960,14.10,0.16142,0.00
910938627,5,5,2013,0,2,26,8.3400,46.00,86188.00,10.80,6.04,7.98,15.30,0.52926,14.10,0.16142,0.00
910948188,5,5,2013,0,2,35,8.3400,45.87,86189.00,10.80,6.04,8.04,15.30,0.52960,14.10,0.16142,0.00
910957741,5,5,2013,0,2,45,8.4000,45.73,86184.00,10.80,6.04,8.04,15.30,0.52949,14.10,0.16142,0.00
910967305,5,5,2013,0,2,54,8.4900,45.55,86187.00,10.80,6.04,8.04,15.30,0.52960,14.10,0.16142,0.00
910976868,5,5,2013,0,3,4,8.5900,45.19,86191.00,10.80,6.04,8.10,15.30,0.52834,14.10,0.16100,0.00
910986431,5,5,2013,0,3,13,8.6800,44.85,86187.00,10.80,6.04,8.10,15.30,0.52880,14.10,0.16100,0.00
910996640,5,5,2013,0,3,24,8.6800,44.79,86187.00,10.80,6.04,8.16,15.30,0.52788,14.10,0.16142,0.00
911006840,5,5,2013,0,3,34,8.7000,44.73,86184.00,10.70,6.04,8.16,15.30,0.52949,14.00,0.16100,0.00
911017041,5,5,2013,0,3,44,8.7100,44.67,86184.00,10.70,6.04,8.23,15.30,0.52891,14.00,0.16142,0.00
911027243,5,5,2013,0,3,54,8.6900,44.60,86188.00,10.70,6.04,8.23,15.30,0.52868,14.00,0.16100,0.00
911037444,5,5,2013,0,4,4,8.7400,44.54,86187.00,10.70,6.04,8.29,15.30,0.52926,14.00,0.16100,0.00
911047668,5,5,2013,0,4,15,8.7600,44.48,86185.00,10.70,6.04,8.29,15.30,0.52868,14.00,0.16100,0.00
911057870,5,5,2013,0,4,25,8.7800,44.33,86188.00,10.70,6.04,8.35,15.30,0.52891,14.00,0.16100,0.00
911068072,5,5,2013,0,4,35,8.8200,44.24,86193.00,10.70,6.04,8.35,15.30,0.52788,14.00,0.16142,0.00
911078274,5,5,2013,0,4,45,8.8200,44.21,86193.00,10.70,6.04,8.35,15.30,0.52960,14.00,0.16100,0.00
911088474,5,5,2013,0,4,55,8.8400,44.21,86189.00,10.70,6.04,8.41,15.30,0.52903,14.00,0.16100,0.00
911098697,5,5,2013,0,5,6,8.8400,44.21,86192.00,10.70,6.04,8.41,15.30,0.52868,14.00,0.16142,0.00
911108898,5,5,2013,0,5,16,8.7900,44.27,86189.00,10.70,6.04,8.41,15.30,0.52903,14.00,0.16142,0.00
