Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
219273839,4,27,2013,0,0,19,6.0800,45.50,87394.00,7.70,3.85,5.85,13.50,0.54981,12.00,0.17163,0.00
219284017,4,27,2013,0,0,29,6.0700,45.53,87391.00,7.70,3.85,5.85,13.50,0.55053,12.00,0.17163,0.00
219293560,4,27,2013,0,0,39,6.0500,45.53,87388.00,7.70,3.85,5.85,13.50,0.55161,12.00,0.17203,0.00
219303156,4,27,2013,0,0,48,6.0400,45.56,87383.00,7.70,3.85,5.85,13.50,0.55113,12.00,0.17163,0.00
219312706,4,27,2013,0,0,58,6.0300,45.56,87390.00,7.70,3.85,5.85,13.50,0.55065,12.00,0.17203,0.00
219322251,4,27,2013,0,1,7,6.0100,45.59,87386.00,7.70,3.85,5.85,13.50,0.55101,12.00,0.17163,0.00
219331794,4,27,2013,0,1,17,6.0000,45.59,87379.00,7.60,3.85,5.85,13.50,0.55065,12.00,0.17203,0.00
219341337,4,27,2013,0,1,26,6.0200,45.62,87382.00,7.60,3.85,5.85,13.50,0.55101,12.00,0.17203,0.00
219350880,4,27,2013,0,1,36,6.0200,45.59,87387.00,7.60,3.85,5.85,13.50,0.55101,12.00,0.17163,0.00
219360429,4,27,2013,0,1,45,6.0200,45.52,87383.00,7.60,3.85,5.85,13.50,0.55101,12.00,0.17203,0.00
219369972,4,27,2013,0,1,55,6.0000,45.55,87378.00,7.60,3.85,5.85,13.50,0.55029,12.00,0.17163,0.00
219379515,4,27,2013,0,2,4,6.0200,45.56,87385.00,7.60,3.85,5.85,13.50,0.55077,12.00,0.17203,0.00
219389059,4,27,2013,0,2,14,6.0100,45.62,87386.00,7.60,3.85,5.91,13.50,0.55101,12.00,0.17163,0.00
219398603,4,27,2013,0,2,24,6.0000,45.71,87383.00,7.60,3.85,5.91,13.50,0.55041,12.00,0.17163,0.00
219408147,4,27,2013,0,2,33,6.0000,45.65,87375.00,7.60,3.85,5.91,13.50,0.55173,12.00,0.17203,0.00
219417696,4,27,2013,0,2,43,6.0200,45.59,87384.00,7.60,3.85,5.91,13.50,0.55125,12.00,0.17203,0.00
219427239,4,27,2013,0,2,52,6.0000,45.62,87381.00,7.60,3.85,5.91,13.50,0.54993,12.00,0.17203,0.00
219436783,4,27,2013,0,3,2,6.0000,45.59,87387.00,7.60,3.85,5.91,13.50,0.55125,12.00,0.17163,0.00
219446327,4,27,2013,0,3,11,6.0000,45.62,87386.00,7.60,3.85,5.91,13.50,0.55125,12.00,0.17163,0.00
219455870,4,27,2013,0,3,21,6.0000,45.71,87384.00,7.60,3.85,5.91,13.50,0.55113,12.00,0.17203,0.00
219465420,4,27,2013,0,3,30,5.9800,45.77,87383.00,7.60,3.85,5.91,13.50,0.55041,12.00,0.17163,0.00
219474965,4,27,2013,0,3,40,5.9600,45.83,87383.00,7.60,3.85,5.91,13.50,0.55113,12.00,0.17163,0.00
219484509,4,27,2013,0,3,49,5.9600,45.89,87380.00,7.60,3.85,5.91,13.50,0.55017,12.00,0.17163,0.00
219494052,4,27,2013,0,3,59,5.9400,45.95,87382.00,7.60,3.85,NaN,13.50,0.55077,12.00,0.17163,0.00
219503595,4,27,2013,0,4,8,5.9300,46.01,87381.00,7.60,3.85,5.91,13.50,0.55101,12.00,0.17163,0.00
219513851,4,27,2013,0,4,19,5.9200,46.01,87378.00,7.60,3.85,5.85,13.50,0.55125,12.00,0.17163,0.00
219524029,4,27,2013,0,4,29,5.9100,46.04,87382.00,7.60,3.85,5.91,13.50,0.55113,12.00,0.17163,0.00
219533572,4,27,2013,0,4,38,5.9000,46.13,87378.00,7.60,3.85,5.85,13.50,0.55065,12.00,0.17163,0.00
219543116,4,27,2013,0,4,48,5.8900,46.19,87378.00,7.60,3.85,5.85,13.50,0.55065,12.00,0.17163,0.00
219552660,4,27,2013,0,4,57,5.8800,46.28,87382.00,7.60,3.85,5.85,13.50,0.55113,12.00,0.17163,0.00
219562210,4,27,2013,0,5,7,5.8500,46.37,87380.00,7.60,3.85,5.85,13.50,0.55017,12.00,0.17163,0.00
219571753,4,27,2013,0,5,17,5.8300,46.46,87380.00,7.60,3.85,5.85,13.50,0.55185,12.00,0.17163,0.00
219581298,4,27,2013,0,5,26,5.8200,46.55,87382.00,7.60,3.85,5.85,13.50,0.55149,11.90,0.17122,0.00
219590842,4,27,2013,0,5,36,5.7900,46.61,87384.00,7.60,3.85,5.85,13.50,0.55185,11.90,0.17163,0.00
219600385,4,27,2013,0,5,45,5.7800,46.61,87378.00,7.60,3.85,5.85,13.50,0.55125,11.90,0.17163,0.00
219609928,4,27,2013,0,5,55,5.7800,46.61,87376.00,7.50,3.85,5.85,13.50,0.55197,11.90,0.17122,0.00
219619478,4,27,2013,0,6,4,5.7800,46.67,87380.00,7.60,3.85,5.79,13.50,0.55137,11.90,0.17163,0.00
219629022,4,27,2013,0,6,14,5.7600,46.73,87375.00,7.50,3.85,5.79,13.50,0.55005,11.90,0.17163,0.00
219638565,4,27,2013,0,6,23,5.7600,46.79,87383.00,7.50,3.85,5.79,13.50,0.55101,11.90,0.17163,0.00
219648111,4,27,2013,0,6,33,5.7600,46.82,87378.00,7.50,3.85,5.79,13.50,0.55161,11.90,0.17203,0.00
219657655,4,27,2013,0,6,42,5.7400,46.91,87377.00,7.50,3.85,5.79,13.50,0.55125,11.90,0.17163,0.00
219667223,4,27,2013,0,6,52,5.7300,47.06,87379.00,7.50,3.85,5.79,13.50,0.55041,11.90,0.17163,0.00
219676768,4,27,2013,0,7,2,5.7100,47.12,87380.00,7.50,3.85,5.79,13.50,0.55029,11.90,0.17163,0.00
219686312,4,27,2013,0,7,11,5.7000,47.18,87376.00,7.50,3.85,5.79,13.50,0.55053,11.90,0.17163,0.00
