Millis,Month,Day,Year,Hour,Minute,Second,SHT Amb,Rel Hum,Pressure,BMP Amb,IR,TN9 Amb,Soil Lower Temp,Soil Lower Mois,Soil Upper Temp,Soil Upper Mois,Sunlight
651473966,5,2,2013,0,0,11,0.7100,44.96,88293.00,1.60,-1.59,0.04,14.10,0.53549,9.20,0.15727,0.00
651484143,5,2,2013,0,0,21,0.8400,44.70,88305.00,1.60,-1.59,0.04,14.10,0.53537,9.10,0.15727,0.00
651494323,5,2,2013,0,0,31,0.9200,44.44,88296.00,1.60,-1.59,0.04,14.10,0.53537,9.10,0.15727,0.00
651503869,5,2,2013,0,0,41,1.0000,44.23,88298.00,1.60,-1.59,0.04,14.10,0.53665,9.10,0.15727,0.00
651513423,5,2,2013,0,0,51,1.0400,44.02,88303.00,1.60,-1.59,0.04,14.10,0.53630,9.10,0.15727,0.00
651522970,5,2,2013,0,1,0,1.1000,43.87,88301.00,1.60,-1.59,0.04,14.10,0.53572,9.10,0.15727,0.00
651532516,5,2,2013,0,1,10,1.1200,43.69,88306.00,1.60,-1.59,0.04,14.10,0.53549,9.10,0.15727,0.00
651542064,5,2,2013,0,1,19,1.1600,43.57,88306.00,1.50,-1.59,0.04,14.10,0.53514,9.10,0.15727,0.00
651551609,5,2,2013,0,1,29,1.1800,43.45,88298.00,1.50,-1.59,0.04,14.10,0.53630,9.10,0.15727,0.00
651561810,5,2,2013,0,1,39,1.1400,43.35,88301.00,1.50,-1.59,0.04,14.10,0.53526,9.10,0.15727,0.00
651571989,5,2,2013,0,1,49,1.1700,43.33,88303.00,1.50,-1.59,0.10,14.10,0.53468,9.10,0.15727,0.00
651581536,5,2,2013,0,1,59,1.2000,43.30,88309.00,1.50,-1.59,0.10,14.10,0.53560,9.10,0.15685,0.00
651591083,5,2,2013,0,2,8,1.1700,43.26,88300.00,1.50,-1.59,0.10,14.10,0.53491,9.10,0.15727,0.00
651600629,5,2,2013,0,2,18,1.2000,43.20,88307.00,1.50,-1.59,0.10,14.10,0.53479,9.10,0.15727,0.00
651610176,5,2,2013,0,2,27,1.1800,43.17,88307.00,1.50,-1.59,0.10,14.10,0.53560,9.10,0.15727,0.00
651619736,5,2,2013,0,2,37,1.1600,43.14,88295.00,1.50,-1.59,0.10,14.10,0.53537,9.10,0.15685,0.00
651629284,5,2,2013,0,2,46,1.1400,43.14,88303.00,1.50,-1.59,0.10,14.10,0.53491,9.10,0.15727,0.00
651638830,5,2,2013,0,2,56,1.1200,43.16,88301.00,1.50,-1.59,0.16,14.10,0.53560,9.10,0.15727,0.00
651648376,5,2,2013,0,3,5,1.1200,43.20,88311.00,1.50,-1.59,0.10,14.10,0.53607,9.10,0.15685,0.00
651657923,5,2,2013,0,3,15,1.0800,43.25,88301.00,1.50,-1.59,0.10,14.10,0.53514,9.10,0.15685,0.00
651668126,5,2,2013,0,3,25,1.0400,43.28,88302.00,1.50,-1.59,0.10,14.10,0.53456,9.10,0.15769,0.00
651678357,5,2,2013,0,3,35,1.0000,43.34,88304.00,1.50,-1.59,0.10,14.10,0.53468,9.10,0.15727,0.00
651688536,5,2,2013,0,3,46,0.9800,43.42,88298.00,1.50,-1.59,0.04,14.10,0.53502,9.10,0.15727,0.00
651698081,5,2,2013,0,3,55,0.9400,43.48,88300.00,1.50,-1.59,0.04,14.10,0.53468,9.10,0.15727,0.00
651707628,5,2,2013,0,4,5,0.9200,43.54,88297.00,1.50,-1.59,0.04,14.10,0.53502,9.10,0.15727,0.00
651717182,5,2,2013,0,4,14,0.9100,43.60,88296.00,1.50,-1.59,0.04,14.10,0.53641,9.10,0.15727,0.00
651726728,5,2,2013,0,4,24,0.8800,43.66,88298.00,1.50,-1.59,0.04,14.10,0.53641,9.10,0.15727,0.00
651736274,5,2,2013,0,4,33,0.8500,43.75,88299.00,1.50,-1.59,0.04,14.10,0.53560,9.10,0.15727,0.00
651745821,5,2,2013,0,4,43,0.8400,43.84,88300.00,1.50,-1.59,0.04,14.10,0.53560,9.10,0.15727,0.00
651755368,5,2,2013,0,4,52,0.8200,43.87,88300.00,1.50,-1.59,0.04,14.10,0.53549,9.10,0.15727,0.00
651764915,5,2,2013,0,5,2,0.8000,43.96,88306.00,1.50,-1.59,0.04,14.10,0.53653,9.10,0.15727,0.00
651774468,5,2,2013,0,5,11,0.8000,44.11,88302.00,1.50,-1.59,0.04,14.10,0.53641,9.10,0.15685,0.00
651784014,5,2,2013,0,5,21,0.7900,44.30,88298.00,1.50,-1.59,0.04,14.10,0.53491,9.10,0.15685,0.00
651793561,5,2,2013,0,5,31,0.7900,44.48,88299.00,1.50,-1.59,0.04,14.10,0.53526,9.00,0.15727,0.00
651803107,5,2,2013,0,5,40,0.7800,44.60,88308.00,1.50,-1.59,0.04,14.10,0.53549,9.00,0.15685,0.00
651812653,5,2,2013,0,5,50,0.8000,44.57,88306.00,1.40,-1.59,0.04,14.10,0.53618,9.00,0.15685,0.00
651822206,5,2,2013,0,5,59,0.7800,44.57,88307.00,1.50,-1.59,0.04,14.10,0.53584,9.00,0.15727,0.00
651831753,5,2,2013,0,6,9,0.7300,44.59,88307.00,1.40,-1.59,0.04,14.10,0.53607,9.00,0.15685,0.00
651841299,5,2,2013,0,6,18,0.6600,44.68,88301.00,1.40,-1.59,-0.02,14.10,0.53630,9.00,0.15727,0.00
651850847,5,2,2013,0,6,28,0.6000,44.79,88307.00,1.40,-1.59,-0.02,14.10,0.53584,9.00,0.15727,0.00
651860393,5,2,2013,0,6,37,0.5200,44.90,88298.00,1.40,-1.59,-0.02,14.10,0.53479,9.00,0.15685,0.00
651869965,5,2,2013,0,6,47,0.4800,45.02,88303.00,1.40,-1.59,-0.02,14.10,0.53537,9.00,0.15727,0.00
651879511,5,2,2013,0,6,56,0.4800,45.11,88302.00,1.40,-1.59,-0.09,14.10,0.53560,9.00,0.15727,0.00
651889111,5,2,2013,0,7,6,0.4800,45.14,88300.00,1.40,-1.59,-0.09,14.10,0.53468,9.00,0.15727,0.00
651898657,5,2,2013,0,7,16,0.5100,45.09,88300.00,1.40,-1.59,-0.09,14.10,0.53433,9.00,0.15727,0.00
651908203,5,2,2013,0,7,25,0.5800,45.07,88298.00,1.40,-1.59,-0.09,14.10,0.53526,9.00,0.15727,0.00
651917756,5,2,2013,0,7,35,0.6300,44.92,88302.00,1.40,-1.59,-0.09,14.10,0.53549,9.00,0.15685,0.00
651927302,5,2,2013,0,7,44,0.6800,44.80,88293.00,1.40,-1.59,-0.09,14.10,0.53445,9.00,0.15685,0.00
651936848,5,2,2013,0,7,54,0.6800,44.74,88299.00,1.40,-1.59,-0.09,14.10,0.53514,9.00,0.15727,0.00
651946395,5,2,2013,0,8,3,0.6800,44.80,88301.00,1.40,-1.59,-0.09,14.10,0.53653,9.00,0.15727,0.00
651955941,5,2,2013,0,8,13,0.6400,44.92,88303.00,1.40,-1.59,-0.15,14.10,0.53560,9.00,0.15727,0.00
651965489,5,2,2013,0,8,22,0.6200,44.98,88296.00,1.40,-1.59,-0.09,14.10,0.53468,9.00,0.15727,0.00
651975041,5,2,2013,0,8,32,0.6600,44.87,88297.00,1.40,-1.59,-0.09,14.10,0.53572,9.00,0.15727,0.00
651984586,5,2,2013,0,8,41,0.7000,44.71,88296.00,1.40,-1.59,-0.09,14.10,0.53526,9.00,0.15685,0.00
651994133,5,2,2013,0,8,51,0.7200,44.63,88298.00,1.40,-1.59,-0.09,14.10,0.53560,9.00,0.15685,0.00
652003681,5,2,2013,0,9,1,0.7300,44.50,88297.00,1.40,-1.59,-0.09,14.10,0.53537,9.00,0.15685,0.00
652013228,5,2,2013,0,9,10,0.7200,44.44,88298.00,1.40,-1.59,-0.09,14.10,0.53618,9.00,0.15727,0.00
652022778,5,2,2013,0,9,20,0.7800,44.36,88296.00,1.40,-1.59,-0.02,14.10,0.53537,9.00,0.15685,0.00
652032322,5,2,2013,0,9,29,0.8600,44.21,88302.00,1.40,-1.59,-0.02,14.10,0.53526,9.00,0.15727,0.00
652041869,5,2,2013,0,9,39,0.8400,44.18,88302.00,1.40,-1.59,0.04,14.10,0.53456,9.00,0.15685,0.00
652051416,5,2,2013,0,9,48,0.8500,44.15,88299.00,1.40,-1.59,0.04,14.10,0.53549,9.00,0.15727,0.00
652060962,5,2,2013,0,9,58,0.9100,44.10,88293.00,1.40,-1.59,0.04,14.10,0.53514,9.00,0.15727,0.00
652070515,5,2,2013,0,10,7,1.0800,43.87,88294.00,1.40,-1.59,0.10,14.10,0.53433,9.00,0.15727,0.00
652080061,5,2,2013,0,10,17,1.0600,43.74,88303.00,1.40,-1.59,0.10,14.10,0.53514,9.00,0.15685,0.00
652089609,5,2,2013,0,10,26,1.0600,43.62,88294.00,1.40,-1.59,0.10,14.10,0.53514,9.00,0.15727,0.00
652099209,5,2,2013,0,10,36,1.0800,43.56,88292.00,1.40,-1.59,0.10,14.10,0.53572,9.00,0.15685,0.00
