    soil_z         soil_type        soil_T          soil_q     
 0.00000000E+00  1.00000000E+00  2.89227997E+02  2.56600738E-01
 2.00000000E-02  1.00000000E+00  2.89770386E+02  2.59723771E-01
 4.00000000E-02  1.00000000E+00  2.90085480E+02  2.62846804E-01
 6.00000000E-02  1.00000000E+00  2.90085480E+02  2.67429824E-01
 8.00000000E-02  1.00000000E+00  2.90647125E+02  2.73472833E-01
 1.20000000E-01  1.00000000E+00  2.91355835E+02  2.85558850E-01
 2.00000000E-01  2.00000000E+00  2.91759521E+02  3.11580605E-01
 3.00000000E-01  2.00000000E+00  2.91739746E+02  3.60292863E-01
 5.00000000E-01  2.00000000E+00  2.91267181E+02  4.99972351E-01
