     atm_u           atm_v           atm_T           atm_q           R_net     
-3.69846940E-01  -3.14835095E+00  2.89649994E+02  9.41371918E-03  1.19163025E+02
-3.65978032E-02  -2.32971239E+00  2.89750000E+02  9.16899648E-03  1.23881378E+02
 1.40396625E-01  -1.82460654E+00  2.90149994E+02  8.58465023E-03  1.38039215E+02
-8.16777162E-03  -1.55997860E+00  2.90350006E+02  8.64250027E-03  1.53254547E+02
-4.82357979E-01  -1.92034662E+00  2.90549988E+02  8.75751209E-03  1.76949738E+02
-6.36194408E-01  -2.14775634E+00  2.90850006E+02  8.93257279E-03  2.03898712E+02
-4.38418955E-01  -2.51202869E+00  2.91049988E+02  8.75751209E-03  2.76515900E+02
-7.59970248E-01  -2.45506501E+00  2.91350006E+02  8.81639216E-03  3.05941193E+02
-1.84826422E+00  -2.42619443E+00  2.91549988E+02  8.99338257E-03  4.10976166E+02
-2.12618113E+00  -2.90505648E+00  2.91850006E+02  9.17351618E-03  4.96337280E+02
-1.91953588E+00  -2.20040512E+00  2.91649994E+02  8.81899986E-03  2.54464600E+02
-1.22434938E+00  -1.98238945E+00  2.91449982E+02  8.64590611E-03  3.54628845E+02
-1.70175374E+00  -1.08831716E+00  2.91149994E+02  8.53134785E-03  1.08716644E+02
-1.17551136E+00  -1.29640770E+00  2.91049988E+02  8.64505488E-03  7.82702942E+01
-5.74401081E-01  -1.42886782E+00  2.90949982E+02  8.53218883E-03  7.04761353E+01
-7.51154602E-01  -1.41271615E+00  2.91049988E+02  8.58888030E-03  7.96446228E+01
-6.70401633E-01  -1.59482348E+00  2.91149994E+02  8.47582798E-03  1.03394653E+02
-2.45965749E-01  -2.12581778E+00  2.91049988E+02  8.36327579E-03  1.18950012E+02
-3.26823533E-01  -1.36131787E+00  2.91250000E+02  8.08966160E-03  1.84698486E+02
 1.93969142E+00  -2.66975594E+00  2.91250000E+02  8.58888030E-03  2.82692627E+02
 3.86073518E+00  -2.29234004E+00  2.91250000E+02  8.70326720E-03  1.41522980E+02
 2.60335445E+00  -2.27906704E+00  2.90449982E+02  8.53218883E-03  1.37639893E+02
 2.54180121E+00  -1.99302447E+00  2.90350006E+02  8.58888030E-03  1.51912506E+02
 1.95921147E+00  -2.13810444E+00  2.90949982E+02  8.76269117E-03  2.81511078E+02
 1.67437828E+00  -2.80879998E+00  2.90649994E+02  8.59057438E-03  9.64679871E+01
 1.17609918E+00  -2.77072024E+00  2.90149994E+02  8.70498270E-03  6.35978088E+01
 5.87973237E-01  -3.55165958E+00  2.90149994E+02  8.82073864E-03  9.12639771E+01
-6.26306355E-01  -3.91015863E+00  2.90250000E+02  8.36657267E-03  8.11281738E+01
 2.40868971E-01  -3.06053615E+00  2.89949982E+02  8.09285045E-03  9.65405273E+01
 3.43756348E-01  -2.44596219E+00  2.89850006E+02  8.42145924E-03  9.98587036E+01
-5.32972932E-01  -2.66727209E+00  2.89949982E+02  8.87912605E-03  1.06213684E+02
-2.53094852E-01  -2.72828579E+00  2.90149994E+02  8.87912605E-03  7.77877197E+01
-3.03195208E-01  -2.70304871E+00  2.89949982E+02  8.87825154E-03  5.43639526E+01
 6.22191787E-01  -2.51415539E+00  2.89649994E+02  8.70412309E-03  1.34447327E+01
 2.01204494E-01  -2.21086335E+00  2.89449982E+02  8.76182877E-03  -1.65820923E+01
 1.48367554E-01  -1.84404099E+00  2.89250000E+02  8.87825154E-03  -1.40608826E+01
 4.28677350E-01  -1.75850379E+00  2.89049988E+02  8.93697329E-03  -1.89872742E+01
 5.58568597E-01  -1.59502387E+00  2.89049988E+02  8.81899986E-03  -1.43968201E+01
 8.30259547E-02  -1.35746336E+00  2.89049988E+02  8.87737423E-03  -1.14897461E+01
-5.27882397E-01  -1.23164129E+00  2.89049988E+02  8.81899986E-03  -2.30770264E+01
